idna_subject,checker_type,destination,tested_at
vortex-bn2.metron.live.com.nsatc.net,AVAILABILITY,origin.list,2023-07-03 05:11:02.023349
corp.sts.microsoft.com,AVAILABILITY,origin.list,2023-07-03 05:11:02.348284
vortex-cy2.metron.live.com.nsatc.net,AVAILABILITY,origin.list,2023-07-03 05:11:02.353609
oca.telemetry.microsoft.com.nsatc.net,AVAILABILITY,origin.list,2023-07-03 05:11:02.815131
corpext.msitadfs.glbdns2.microsoft.com,AVAILABILITY,origin.list,2023-07-03 05:11:03.131738
sls.update.microsoft.com.akadns.net,AVAILABILITY,origin.list,2023-07-03 05:11:03.444830
compatexchange.cloudapp.net,AVAILABILITY,origin.list,2023-07-03 05:11:03.800198
telecommand.telemetry.microsoft.com.nsatc.net,AVAILABILITY,origin.list,2023-07-03 05:11:03.907426
watson.telemetry.microsoft.com.nsatc.net,AVAILABILITY,origin.list,2023-07-03 05:11:04.146442
statsfe2.update.microsoft.com.akadns.net,AVAILABILITY,origin.list,2023-07-03 05:11:05.024118
i1.services.social.microsoft.com.nsatc.net,AVAILABILITY,origin.list,2023-07-03 05:11:05.239977
